May 25 Texas shooting news, 3 months ago, Nineteen children and two teachers were killed in a shooting at Robb Elementary School in Uvalde Texas on Tuesday the Texas Department, https://www.cnn.com/us/live-news/texas-elementary-school-shooting-05-25-22/index.html 
Families in Texas Grieve Loss of 19 Children in Shooting, 2 months ago, Follow today's latest news on the Uvalde Texas elementary school shooting, https://www.nytimes.com/live/2022/05/25/us/shooting-robb-elementary-uvalde 
These Are the Victims of the Uvalde Texas School Shooting, 3 months ago, These Are the Victims of the Uvalde Texas School Shooting · Jacklyn Cazares 10 · Eliahna Garcia 9 · Irma Garcia 48 · Uziyah Garcia 8 · Amerie, https://time.com/6181501/texas-school-shooting-victims-uvalde/ 
Shooting at Texas elementary school leaves 19 children dead ..., 3 months ago, The latest tragedy once again horrified the country and sparked outrage particularly from gun safety advocates who said the nation could no, https://www.politico.com/news/2022/05/24/uvalde-texas-school-shooting-00034864 
Nineteen students and two adults killed in Texas elementary school shooting, 3 months ago, , https://www.theguardian.com/us-news/2022/may/24/texas-school-shooting-uvalde-robb-elementary 
19 children and 2 adults were killed at an elementary school in Texas, 3 months ago, Kladys Castellón prays during a vigil for the victims of a mass shooting at Robb Elementary School in Uvalde Texas on Tuesday May 24, https://www.npr.org/2022/05/24/1101037902/texas-elementary-school-shooting-uvalde 
The Uvalde school shooting victims: What we know, 3 months ago, 21 lives lost: Uvalde victims were a cross-section of a small mostly Latino town in South Texas · The 21 victims of the Uvalde school shooting, https://www.texastribune.org/2022/05/25/uvalde-school-shooting-victims/ 
Uvalde school shooting ends with 19 children 2 adults dead, 3 months ago, One of the two adult victims was identified as a schoolteacher Eva Mireles by her aunt and by a parent of a student on social media, https://www.texastribune.org/2022/05/24/uvalde-texas-school-shooting/ 
What we know about the victims at Robb Elementary School, 1 month ago, They were among the 19 children and two teachers who were killed on May 24 2022 after a gunman walked into Robb Elementary school in Uvalde, https://www.cnn.com/2022/05/25/us/victims-uvalde-texas-school-shooting/index.html 
Texas school shooting timeline: Law enforcement official gives detailed description of deadly attack on Robb Elementary School police response, 3 months ago, In another four-person chat the gunman said "Just bought something rn" McCraw said, https://www.cbsnews.com/news/texas-school-shooting-timeline-robb-elementary-school-attack/ 
Texas school shooting: Uvalde school police chief defends mass shooting response, 2 months ago, Amid widespread criticism a Texas school district police chief has defended the actions of officers responding to the Uvalde mass shooting, https://www.bbc.com/news/world-us-canada-61685119 
Texas school police chief says he didn’t think he was in charge during shooting, 2 months ago, Pete Arredondo says he intentionally left behind radios before entering school as two more funerals are held for victims of the attack, https://www.theguardian.com/us-news/2022/jun/10/texas-school-shooting-police-chief-pete-arredondo 
Chief Pete Arredondo defends police response to Uvalde school ..., 2 months ago, Texas Department of Public Safety officials and news outlets have reported that the shooter fired his gun at least two more times as police, https://www.texastribune.org/2022/06/09/uvalde-chief-pete-arredondo-interview/ 
Texas school shooting: heavily armed police with ballistic shields were there ‘within 19 minutes’, 2 months ago, Multiple police officers armed with rifles and at least one ballistic shield were at the site of the Robb elementary school mass shooting in, https://www.theguardian.com/us-news/2022/jun/21/texas-school-shooting-uvalde-heavily-armed-police-at-robb-elementary-school-within-19-minutes 
Police chief who led Texas school shooting response suspended, 2 months ago, Gun violence victims and their loved ones testify before US congressional committee in emotional push for gun control, https://www.aljazeera.com/news/2022/6/23/police-chief-who-led-texas-school-shooting-response-suspended 
Police could have stopped Uvalde shooting in 3 minutes a Texas ..., 2 months ago, A top Texas law enforcement official said that there were enough armed , https://www.npr.org/2022/06/21/1106372103/uvalde-shooting-timeline-3-minutes-pete-arredondo 
Uvalde school shooting: A timeline of the massacre and police ..., 3 months ago, What we know minute by minute about how the Uvalde shooting and , https://www.texastribune.org/2022/05/27/uvalde-texas-school-shooting-timeline/ 
TIMELINE: Texas elementary school shooting minute by minute, 3 months ago, In the hours and days following the fatal shooting of 19 children and their two teachers at Robb Elementary School in Uvalde Texas, https://apnews.com/article/texas-school-shooting-timeline-6069b0cf01e5f732ef55f9fd0b7109d7 
Timeline of how Texas school shooting unfolded, 3 months ago, The mass shooting at Robb elementary school in the small city of Uvalde south Texas began on Tuesday 24 May with a single shot, https://www.theguardian.com/us-news/2022/may/30/texas-uvalde-mass-shooting-timeline 
Texas school shooting: 19 children 2 adults killed before gunman shot, 3 months ago, UVALDE Texas - A shooting at an elementary school in Uvalde Texas left 19 children and two adults dead on Tuesday, https://www.fox32chicago.com/news/uvalde-texas-elementary-school-shooting 
Video of Uvalde shooting shows police’s delay in confronting gunman, 1 month ago, Leaked video shows Texas law enforcement's long wait to confront Uvalde school shooter, https://www.texastribune.org/2022/07/12/texas-house-investigators-uvalde-shooting-video/ 
Texas officials agree to release hallway video from Uvalde school shooting, 1 month ago, Texas officials have agreed to make public video footage from inside Uvalde's Robb elementary school during the deadly mass shooting there, https://www.theguardian.com/us-news/2022/jul/11/uvalde-school-shooting-texas-video-footage 
Surveillance video of Uvalde school shooting shows police response, 1 month ago, Exclusive: Watch Uvalde school shooting video obtained by , https://www.statesman.com/story/news/2022/07/12/uvalde-school-shooting-video-of-robb-elementary-shows-police-response/65370384007/ 
Texas school shooting: what we know so far, 3 months ago, Names of student victims began to emerge, https://www.theguardian.com/us-news/2022/may/24/texas-school-shooting-uvelde-what-we-know 
Here is what we know so far about the victims of the Texas school massacre, 3 months ago, Here is what we know so far about the victims of the Texas school massacre ; Eva Mireles, https://www.nbcnews.com/news/us-news/texas-school-shooting-fourth-grade-teacher-killed-uvalde-elementary-rcna30426 
May 24 2022 -- Deadly shooting at Texas elementary school, 3 months ago, At least 19 children and two adults were killed in a shooting at Robb Elementary School in Uvalde Texas Tuesday afternoon according to the, https://www.cnn.com/us/live-news/texas-elementary-school-shooting-05-24-22/index.html 
Texas School Shooting Victims: Third and Fourth Graders Beloved Teachers, 3 months ago, Texas School Shooting Victims: Third and Fourth Graders Beloved Teachers ; ALITHIA RAMIREZ 4TH GRADER, https://www.nbcdfw.com/news/local/texas-news/uvalde-texas-school-shooting-names-of-victims-begin-to-release/2976993/ 
Texas shooting: Uvalde report finds 'systemic failures' by authorities, 1 month ago, A report into the Uvalde school shooting in Texas that killed 21 people has found "systemic failures and egregiously poor decision-making", https://www.bbc.com/news/world-us-canada-62200507 
News brief: Texas school shooting vigil for victims preventing the ..., 3 months ago, Have you seen the photos of children elementary school kids who went to school Tuesday morning in Uvalde Texas? LEILA FADEL HOST: They were, https://www.npr.org/2022/05/26/1101423544/morning-news-brief 
The Uvalde shooting conspiracies show how far-right misinformation ..., 3 months ago, Even before details were known about the shooter who killed 19 children and two school faculty at Robb Elementary School in Uvalde Texas, https://www.npr.org/2022/05/26/1101479269/texas-uvalde-school-shooting-misinformation-conspiracy-far-right 
What we know about the victims of the Uvalde school shooting, 3 months ago, Two teachers and 19 students were killed at the elementary school in Uvalde Texas making it the second-deadliest school shooting in U, https://www.npr.org/2022/05/27/1101286508/what-we-know-about-the-victims-of-the-uvalde-school-shooting 
Shooting at Elementary School Devastates Community in South Texas, 2 months ago, UVALDE Texas — A gunman killed at least 19 children and two adults on Tuesday in a rural Texas elementary school a state police official said, https://www.nytimes.com/live/2022/05/24/us/shooting-robb-elementary-uvalde 
Justice Dept. to review response to Texas school shooting, 3 months ago, UVALDE Texas (AP) — The Justice Department said Sunday it will review the law enforcement response to the Texas school shooting, https://apnews.com/article/texas-school-shooting-justice-department-reviewing-response-ed6ea4160d723c2a25cde1c909d31fa7 
Gunman emerged from classroom closet firing at Border Patrol ..., 3 months ago, In a prerecorded message to the NRA convention Texas Gov, https://www.washingtonpost.com/nation/2022/05/27/texas-school-shooting-uvalde-victims-live-updates/ 
‘Forgive me forgive my son’: parents of Texas school shooter respond, 3 months ago, He was ultimately shot dead by a federal agent in a classroom in which he had barricaded himself with his victims, https://www.theguardian.com/us-news/2022/may/27/texas-school-shooter-parents 
Here's what we learned about the Uvalde school shooting on Friday, 3 months ago, A look at the 19 children and two teachers who were killed in the Uvalde Texas shooting · Eva Mireles teacher · Irma Garcia teacher · Neveah, https://www.statesman.com/story/news/2022/05/27/live-updates-uvalde-texas-school-shooting-robb-elementary-victims/9950438002/ 
Gunman's final 90 minutes fuel questions about police delays, 3 months ago, UVALDE Texas (AP) — It was 11:28 a, https://apnews.com/article/uvalde-school-shooting-politics-texas-shootings-56a4d01fb1cda19947db89fcb6bd85fd 
A dad's anguish outside Texas school while shooting unfolded, 3 months ago, UVALDE Texas (AP) — Javier Cazares raced to his daughter's school when he heard there was a shooting leaving his truck running with the, https://apnews.com/article/uvalde-school-shooting-politics-texas-shootings-e3975aebf393ca7c122cc117d29059c4 
Who is the Texas school shooter? What we know, 3 months ago, Salvador Ramos the alleged gunman accused of shooting his grandmother and then targeting dozens of victims – ultimately killing 19 children, https://www.foxnews.com/us/texas-school-shooter-what-we-know 
After Uvalde school shooting Texas police wonder how much ..., 2 months ago, After Uvalde school shooting Texas police wonder how much training is , https://www.texastribune.org/2022/06/13/uvalde-school-shooting-texas-police-training/ 
Uvalde: US to review police response to Texas school shooting, 3 months ago, In Uvalde President Joe Biden met the victims' families on Sunday, https://www.bbc.com/news/world-us-canada-61622797 
Uvalde officer asked permission to shoot gunman outside school but ..., 2 months ago, The report is likely to inform any policy responses to the tragedy the deadliest school shooting in Texas history, https://www.texastribune.org/2022/07/06/uvalde-school-shooting-robb-elementary-report/ 
Gunman at a Texas elementary school kills 19 students and two adults before being fatally shot officials say, 3 months ago, The shooter -- identified by Texas officials as Salvador Ramos of Uvalde -- also , https://www.cnn.com/2022/05/24/us/uvalde-texas-elementary-school-shooting/index.html 
Biden says Second Amendment 'not absolute' as more details of ..., 3 months ago, They were teary-eyed and shaken at the news there had been a mass shooting another one this time at an elementary school in Texas, https://www.washingtonpost.com/nation/2022/05/25/texas-school-shooting-uvalde-victims-live-updates/ 
Texas School Shooting: Related to The Victims Tied To The Shooter Sisters Mourn In Uvalde, 3 months ago, Two days after a gunman killed 19 children and two teachers inside a fourth grade classroom at Robb Elementary School in Uvalde Texas sisters, https://www.today.com/parents/parents/texas-school-shooting-uvalde-victims-shooter-rcna30760 
‘America is killing itself’: world reacts with horror and incomprehension to Texas shooting, 3 months ago, , https://www.theguardian.com/us-news/2022/may/25/international-reaction-texas-school-shooting 
‘It all happened too fast’: injured Uvalde teacher recounts school shooting, 3 months ago, But we set them up to be like ducks, https://www.theguardian.com/us-news/2022/jun/07/uvalde-teacher-school-shooting-arnulfo-reyes 
Texas school shooting: What we know about the victims, 3 months ago, Texas school shooting: What we know about the victims · Eva Mireles 44 · Uziyah Garcia 8 · Xavier Lopez 10 · Cousins Jayce Carmelo Luevanos and, https://nypost.com/2022/05/25/texas-school-shooting-what-we-know-about-the-victims/ 
Last Texas school shooting victim laid to rest, 2 months ago, Uziyah who went by Uzi was the last of the 21 people killed in the Uvalde school massacre — 19 children and two teachers — to be laid to, https://www.cbsnews.com/news/last-texas-school-shooting-victim-laid-to-rest/ 
How to help Uvalde Texas school shooting victims, 3 months ago, Here's how to help those affected by the Uvalde school shooting · Blood donations · Legal support · Mental health support · Financial support, https://www.washingtonpost.com/nation/2022/05/25/help-uvalde-texas-shooting-victims/ 
Texas school shooting: Suspected gunman made threats called 'Yubo school shooter' on platform users said, 3 months ago, Crosses with the names of Tuesday's shooting victims are placed outside Robb Elementary School in Uvalde Texas Thursday May 26 2022, https://www.foxnews.com/us/texas-school-shooting-gunman-threats-yubo-school-shooter-social-media 
Mass shooting at Texas elementary school: Utah officials react with grief, 3 months ago, , https://www.deseret.com/utah/2022/5/24/23140676/mass-shooting-texas-elementary-school-utah-officials-react-grief-gun-laws 
Sister of Uvalde shooting victim testifies before Texas lawmakers: “I ..., 2 months ago, Jackie Cazares one of the victims of the mass shooting at Robb Elementary School in, https://www.texastribune.org/2022/06/23/jazmin-cazares-shooting-victims-testify-texas-house/ 
These are the 21 victims of the Texas school shooting, 3 months ago, According to initial reports at least two sets of cousins were killed by the gunman: Jackie Cazares and Annabell Rodriguez both 10 and Jayce, https://www.latimes.com/world-nation/story/2022-05-26/texas-school-shooting-victims-21-lives-cut-short 
‘It Was the Wrong Decision’ Police Say of Delay in Confronting Gunman, 3 months ago, Follow today's latest news on the Uvalde Texas elementary school shooting, https://www.nytimes.com/live/2022/05/27/us/texas-school-shooting 
Uvalde shooting: elementary school principal reinstated after suspension, 1 month ago, The principal of the Texas elementary school where an intruder shot 19 students and two teachers to death in May is back at her job after a, https://www.theguardian.com/us-news/2022/jul/29/uvalde-shooting-elementary-school-principal-reinstated 
Uvalde shooting records: Texas newsrooms sue for access, 1 month ago, For the latest updates on the aftermath of the shooting at an elementary , https://www.texastribune.org/2022/08/01/uvalde-dps-texas-records-lawsuit-media-organizations/ 
Uvalde Texas gunman was increasingly troubled and violent ..., 3 months ago, He then went on a shooting rampage at Robb Elementary School near his home , https://www.washingtonpost.com/nation/2022/05/25/uvalde-texas-school-shooting-gunman/ 
Principal of Uvalde elementary school suspended in wake of deadly shooting, 1 month ago, The principal of the elementary school in Uvalde Texas , https://www.theguardian.com/us-news/2022/jul/26/uvalde-shooting-texas-robb-elementary-principal-suspended 
Uvalde elementary school shooting, 3 months ago, Mementos decorate a makeshift memorial to shooting victims outside of Robb Elementary School in Uvalde Texas, https://www.npr.org/series/1101183663/uvalde-elementary-school-shooting 
Texas House publishes report of Uvalde school shooting ..., 1 month ago, The House committee investigating the Uvalde school shooting said it , https://www.texastribune.org/2022/07/23/uvalde-house-report-spanish/ 
Frantic parents wait for news of their children after Texas school shooting, 3 months ago, One mother Maria Garcia was near the school questioning a law enforcement officer hours after the shooting because she was still looking, https://www.nbcnews.com/news/us-news/frantic-parents-wait-news-children-texas-school-shooting-rcna30415 
Morning 4: A look at the timeline of the Texas school shooting -- and other news, 3 months ago, So let's get to the news, https://www.clickondetroit.com/news/local/2022/05/25/morning-4-at-look-at-the-timeline-of-the-texas-school-shooting-and-other-news/ 
Texas school shooting: Washington superintendent weighs in on safety measures taken in the state, 3 months ago, That is the source of all of these deadly and tragic school shootings" Reykdal said, https://www.q13fox.com/news/texas-school-shooting-state-superintendent-weighs-in-on-safety-measures-taken-in-washington 
Fact-check: Who was the officer who killed the Uvalde school shooter?, 3 months ago, In a May 27 news conference Texas Department of Public Safety director Steven McCraw described how Uvalde police officers Border Patrol agents, https://www.statesman.com/story/news/politics/politifact/2022/06/03/fact-check-officer-who-killed-uvalde-school-shooter-duty/7486301001/ 
'She was going to be someone.' Families and friends remember the victims of the Uvalde school massacre as the first funerals are held, 3 months ago, The gunman's 66-year-old grandmother who was shot in the face before the attack on the school is in good condition; a 9-year-old girl is in, https://www.cnn.com/2022/05/31/us/uvalde-texas-elementary-school-shooting-tuesday/index.html 
States With the Most School Shootings, 3 months ago, Texas has seen the most school shootings since 2012 followed by California , https://www.usnews.com/news/best-states/articles/2022-05-27/states-with-the-most-school-shootings 
Massachusetts leaders respond to Texas school shooting, 3 months ago, I am horrified by news of another mass shooting and my heart breaks for the families of the young children and teacher killed in Uvalde, https://www.wgbh.org/news/local-news/2022/05/25/massachusetts-leaders-respond-to-texas-school-shooting 
Discussing life-altering situations like the Texas school shooting with your children, 3 months ago, Discussing life-altering situations like the Texas school shooting with your children · ValleyCentral Daily News, https://www.valleycentral.com/news/discussing-life-altering-situations-like-the-texas-school-shooting-with-your-children/ 
Texas school shooter bought 2 rifles days after turning 18 'no known mental health history' Abbott says, 3 months ago, Lt, https://www.fox13news.com/news/texas-school-shooting-victims-all-in-same-4th-grade-classroom-official 
What We Know About the Texas Elementary School Shooting Victims, 2 months ago, , https://www.nytimes.com/article/uvalde-shooting-victims.html 
US Justice Department to review response to Texas school shooting, 3 months ago, The Bidens were also scheduled to meet with victims' families survivors and first responders, https://www.aljazeera.com/news/2022/5/29/us-justice-department-to-review-response-to-texas-school-shooting 
Texas agencies resist releasing public records that could help clarify ..., 2 months ago, The Texas Tribune and ProPublica have submitted about 70 requests to , https://www.texastribune.org/2022/06/15/texas-public-records-uvalde-shooting/ 
Second grader describes surviving Texas school shooting: "We were scared and the teacher started telling us we can pray", 3 months ago, Second grader describes surviving Texas school shooting: "We were scared and the teacher started telling us we can pray", https://www.cbsnews.com/news/texas-school-shooting-survivor-timothy-silva/ 
Official: Girl told 911 'send the police now' as cops waited, 3 months ago, UVALDE Texas (AP) — Students trapped inside a classroom with a gunman repeatedly called , https://apnews.com/article/uvalde-school-shooting-430b975bbaacce445451e4026cedc171 
Texas school shooting: Burlington County community gathers to honor victims, 3 months ago, , https://www.fox29.com/news/texas-school-shooting-burlington-county-community-gathers-to-honor-victims 
Texas school shooter allegedly threatened classmates cut scars into his face, 3 months ago, The suspect's classmates told ABC News he was known for fighting classmates, https://abcnews.go.com/US/texas-school-shooter-allegedly-threatened-classmates-cut-scars/story%3Fid%3D84962903 
Five injured remain in Texas hospitals after Uvalde shooting, 3 months ago, Five injured victims remain hospitalized one week after Uvalde school shooting, https://www.texastribune.org/2022/06/01/uvalde-shooting-injured-update/ 
Latest news on the Uvalde Texas Robb Elementary School shooting, 3 months ago, 2022 Cable News Network, https://www.cnn.com/specials/us/texas-robb-elementary-shooting 
Social media ‘friend’ describes Uvalde school shooter, 3 months ago, , https://www.kxan.com/news/texas/uvalde-school-shooting/social-media-friend-describes-uvalde-school-shooter/ 
Texas school shooting: Did children die while police waited outside?, 3 months ago, Children run from Robb Elementary School in Uvalde Texas during the shooting Tuesday, https://www.latimes.com/world-nation/story/2022-05-27/police-delays-may-have-deprived-texas-schoolchildren-of-lifesaving-care-experts-say 
Texas school shooting survivors say they fear returning to school, 3 months ago, (CNN) Like many children across America Jayden Perez had practiced what to do in a mass shooting at his school, https://www.cnn.com/2022/05/27/us/uvalde-texas-shooting-survivors-fear-school/index.html 
Parents React To Elementary School Shooting In Uvalde Texas, 3 months ago, "You just gotta say goodbye and hope you'll get the chance to say hello again" Chris O'Connell a local news reporter based in Austin told, https://www.buzzfeednews.com/article/kelseyweekman/uvalde-texas-shooting-parent-reactions-social-media 
Families begin to bury the 21 people killed in the Texas school ..., 3 months ago, JASMINE ROSARIO: I wanted to support about those 21 victims that died because they didn't really deserve this - like none of the kids or any of, https://www.npr.org/2022/05/31/1102097043/families-begin-to-bury-the-21-people-killed-in-the-texas-school-shooting 
PHOTOS: Families victims of Texas school shooting, 3 months ago, People react outside the Civic Center following a deadly school shooting at Robb Elementary School in Uvalde Texas Tuesday May 24 2022, https://www.foxnews.com/us/photos-families-victims-of-texas-school-shooting 
Texas school shooting: Don't wait in silence until next massacre, 3 months ago, All 21 victims in Texas school shooting were killed inside one classroom , https://www.latimes.com/california/story/2022-05-24/uvalde-texas-school-shooting-steve-lopez-dont-wait-in-silence-until-the-next-massacre 
DOJ Will Review Police Response to Uvalde School Shooting, 3 months ago, The victims killed in the attack include 19 students between the ages of nine and eleven as well as two teachers both women in their 40s, https://nymag.com/intelligencer/2022/05/mass-shooting-at-uvalde-texas-elementary-school.html 
Mourning and anger after Texas school shooting, 3 months ago, Uvalde the Texas town that was the site of the latest US school massacre held an emotional vigil to honor the victims most of whom were young, https://www.dw.com/en/mourning-and-anger-after-texas-school-shooting/av-61943628 
Texas school shooting: 21 victims named and pictured, 3 months ago, Alithia Ramirez · Cousins Jackie Cazares and Annabell Rodriguez both 10 · Eva Mireles · Uziyah Garcia 8 · Xavier Lopez 10 · Read more: What do we, https://news.sky.com/story/texas-school-shooting-victims-beautiful-teacher-and-three-students-named-as-21-killed-12620895 
Survivors of Uvalde shooting paint horrifying picture of terror and tragedy, 3 months ago, Survivors of the mass school shooting in Uvalde Texas , https://www.theguardian.com/us-news/2022/may/28/texas-shooting-uvalde-survivors-stories 
Texas school shooting: Community members in Austin honor Uvalde victims call for gun reform, 3 months ago, Austinites create memorial at Capitol for Texas school shooting victims, https://www.fox7austin.com/news/texas-school-shooting-austin-uvalde-victims-gun-reform 
Biden says pain ‘palpable’ in Uvalde as memorial services for shooting victims to begin, 3 months ago, Amerie Jo Garza's cross stands at a memorial site for the victims killed in last week's shooting at Robb elementary school in Uvalde Texas, https://www.theguardian.com/us-news/2022/may/30/texas-school-shooting-memorial-service-victims 
Texas school shooting survivor tells Congress: 'He told my teacher 'goodnight' and shot her in the head', 2 months ago, The hearing also included testimony from the parents of one of the young victims killed in the shooting on 24 May, https://news.sky.com/story/texas-school-shooting-survivor-tells-congress-he-told-my-teacher-goodnight-and-shot-her-in-the-head-12630119 
May 25 Texas shooting news, 3 months ago, Nineteen children and two teachers were killed in a shooting at Robb Elementary School in Uvalde Texas on Tuesday the Texas Department for, https://www.cnn.com/us/live-news/texas-elementary-school-shooting-05-25-22/h_b9936a47dd43e3d0e2fc3c9286ff6f0b 
Debunking 3 Viral Rumors About the Texas Shooting, 3 months ago, Other social media posts alleged that parents shown in news clips , https://www.nytimes.com/2022/05/25/technology/texas-shooting-misinformation.html 
Texas School Shooting, 3 months ago, In the wake of the Texas school shooting Western Mass News is looking at the role resource officers play in local schools and more importantly, https://www.westernmassnews.com/news/texas-school-shooting/ 
Uvalde school shooting: Texas governor attended fundraising event as police dealt with aftermath of massacre, 1 month ago, At a news conference the day after the shooting Mr Abbott said he had been in the city of Abilene when he learned about the attack, https://news.sky.com/story/uvalde-school-shooting-texas-governor-attended-fundraising-event-as-police-dealt-with-aftermath-of-massacre-12661793 
After a Texas school shooting conservatives blamed ‘woke’ programs once approved by Republicans, 1 month ago, “MISD put 'woke' politics over the safety of our children” the flyers read in all caps above a news clipping about the Timberview shooting, https://www.nbcnews.com/news/us-news/texas-school-shooting-republicans-social-emotional-learning-rcna35540 
A timeline of misinformation: What actually happened in Uvalde, 2 months ago, Police walk near Robb Elementary School following a shooting Tuesday May 24 2022 in Uvalde Texas, https://www.kxan.com/news/texas/uvalde-school-shooting/a-timeline-of-misinformation-what-actually-happened-in-uvalde/ 
Bill Bennett on Texas school shooting and moral decay: Parents need to parent, 3 months ago, In the wake of the Texas school shooting in Uvalde in which an 18-year-old , https://www.foxnews.com/lifestyle/bennett-texas-school-shooting-moral-decay-parents 
Elementary school in Uvalde shooting will be demolished and rebuilt, 2 months ago, Texas grocery chain H-E-B said it will donate $10 million to kick off , https://www.npr.org/2022/06/29/1108487919/uvalde-texas-robb-elementary-school-shooting-demolished-rebuilt 
Irma Garcia teacher killed in Texas school shooting and her husband Joe are laid to rest in Uvalde, 3 months ago, Sign up for National Breaking News Alerts , https://www.cbsnews.com/news/texas-school-shooting-funerals-teacher-irma-garcia-husband-joe-garcia/ 
Texas school shooting leaves parents fearful outraged and feeling ..., 3 months ago, They were teary-eyed and shaken at the news there had been a mass shooting another one this time at an elementary school in Texas, https://www.washingtonpost.com/nation/2022/05/25/texas-shooting-parents-fear-outrage/ 
Texas elementary school shooting echoes the Sandy Hook massacre, 3 months ago, Sandy Hook Promise a nonprofit organization founded by the parents of victims reacted to the Texas news on Twitter: "We are devastated, https://www.nbcnews.com/news/us-news/texas-elementary-school-shooting-echoes-sandy-hook-massacre-rcna30400 
Your Thursday Briefing: A Texas School Shooting, 3 months ago, A deadly school shooting in Texas , https://www.nytimes.com/2022/05/25/briefing/texas-uvalde-shooting-school-asia.html 
Texas politicians search for solutions after another mass shooting ..., 3 months ago, In arguing over causes of the latest mass shooting , https://www.texastribune.org/2022/06/06/texas-uvalde-gun-policy/ 
Republicans Democrats spar over gun regulation after Texas school shooting, 3 months ago, A man kneels at a memorial in Town Square in front of the county courthouse for victims of the Robb Elementary school shooting three days, https://www.cnbc.com/2022/05/29/republicans-democrats-spar-over-gun-regulation-after-texas-school-shooting.html 
May 25 Texas shooting news, 3 months ago, An 18-year-old gunman on Tuesday fatally shot 19 children and two teachers at Robb Elementary School in Uvalde Texas before he was killed by, https://www.cnn.com/us/live-news/texas-elementary-school-shooting-05-25-22/h_b4bda8310de14db8213ed1b732a1031d 
Texas school shooting: Survivor tells parents her teacher after being hit landed on top of her, 3 months ago, People visit a memorial at Robb Elementary School in Uvalde Texas on Thursday June 2 to pay their respects to the victims killed the, https://www.foxnews.com/us/uvalde-texas-school-shooting-survivor 
‘This doesn’t feel like America’: Julian Edelman other Boston athletes react to Texas school shooting, 3 months ago, The sports world — like the rest of the country — reeled from the news, https://www.boston.com/sports/boston-celtics/2022/05/25/julian-edelman-jayson-tatum-texas-school-shooting/ 
Texas shooting: First victims named in Uvalde primary school massacre - 19 children and two teachers dead, 3 months ago, Seven of the students killed have been named as Uziyah Garcia Xavier Javier Lopez Amerie Jo Garza Annabell Guadalupe Rodriguez Nevaeh Bravo, https://news.sky.com/story/texas-shooting-14-children-and-one-teacher-killed-in-primary-school-shooting-12620763 
Full coverage of the elementary school shooting in Uvalde Texas, 3 months ago, President Biden and First Lady Jill Biden visit the small Texas city of Uvalde to meet and console the families of victims and survivors of last, https://www.latimes.com/world-nation/story/2022-05-24/full-coverage-of-texas-elementary-school-shooting 
Uvalde school shooting PHOTOS: Latest images from the scene aftermath, 3 months ago, Police walk near Robb Elementary School following a shooting Tuesday May 24 2022 in Uvalde Texas, https://www.click2houston.com/news/local/2022/05/24/uvalde-school-shooting-photos-latest-images-from-the-scene-aftermath/ 
New details raise even more questions about the Texas school ..., 2 months ago, News Expand/collapse submenu for News , https://www.npr.org/2022/06/21/1106336071/new-details-raise-even-more-questions-about-the-texas-school-shooting 
Texas school shooting: Border Patrol agent reveals 'chaos' of responding to Robb Elementary, 3 months ago, Memorial services begin for Uvalde school shooting victims, https://www.foxnews.com/us/texas-school-shooting-robb-elementary-scene 
Amanda Gorman pens poem in wake of Texas school shooting: "The truth is one education under desks", 3 months ago, But to watch monsters kill children again and again and do nothing isn't just insanity – it's inhumanity, https://www.cbsnews.com/news/amanda-gorman-texas-school-shooting-poem/ 
Officer checking phone married to teacher who was shot Texas Rep. says, 1 month ago, , https://www.kxan.com/news/texas/uvalde-school-shooting/surveillance-footage-shows-moment-uvalde-officer-learns-his-wife-teacher-was-shot/ 
One-door schoolhouses not credible solution officials and experts say, 3 months ago, As people in Uvalde and across the country groped for solutions in response to the latest mass school shooting Texas Republican officials, https://www.texastribune.org/2022/05/28/uvalde-shooting-school-doors/ 
Texas School Shooting Victims Signal Action Against Gunmaker, 3 months ago, The father of a 10-year-old girl killed in the Uvalde Texas school shooting and a school employee have taken initial steps that could lead, https://www.voanews.com/a/6602761.html 
Two victims of Texas school shooting being treated at military hospital, 3 months ago, Two victims in Tuesday's shooting at an elementary school in Uvalde Texas are being treated at Brooke Army Medical Center at Fort Sam, https://www.militarytimes.com/news/your-military/2022/05/25/two-victims-of-texas-school-shooting-being-treated-at-military-hospital/ 
News to Know for May 26: Texas school shooting; Upper Magnolia Green; Richmond Ambulance Authority, 3 months ago, News to Know for May 26: Texas school shooting; Upper Magnolia Green; Richmond Ambulance Authority, https://www.nbc12.com/2022/05/26/news-know-may-26-texas-school-shooting-upper-magnolia-green-richmond-ambulance-authority/ 
Texas school shooting latest reminder U.S. is global outlier on guns, 3 months ago, Texas school massacre latest 'everyday horror' in U, https://www.nbcnews.com/news/world/texas-school-shooting-us-global-outlier-gun-laws-australia-dunblane-rcna30446 
Reflections from school shootings past: What to say what to do, 3 months ago, The attack at Robb Elementary School in Uvalde Texas was the deadliest school shooting since a gunman killed 26 people at Sandy Hook, https://www.chalkbeat.org/2022/5/24/23140507/uvalde-texas-school-shooting-what-to-do-what-to-say 
New report details missed chances to stop Uvalde shooting, 2 months ago, AUSTIN Texas — A police officer armed with a rifle watched the gunman in , https://www.politico.com/news/2022/07/06/new-report-details-missed-chances-to-stop-uvalde-shooting-00044334 
What past survivors and families have to say about the Texas school shooting, 3 months ago, That was the front page headline on the Dallas Morning News on Wednesday , https://www.cnn.com/2022/05/25/us/school-shooting-survivors-robb-elementary-uvalde-cec/index.html 
